Date,Author,Verified,Helpful,Title,Body,Rating,Images,Videos,URL,Variation,Style
"Reviewed in the United States on July 10, 2024",Eduard Alexander Rojas ColmenarezEduard Alexander Rojas Colmenarez,yes,yes,Un producto no tan bueno que digamos,Es muy bonito pero no me gustó algo desde mi criterio!! Bota agua al momento de voltear el vaso y no me gustó eso! Un producto un poco costoso para tener que comprarle algo adicionar para que no se derrame!,3,https://m.media-amazon.com/images/I/71VAU4STsQL.jpg,-,https://www.amazon.com/gp/customer-reviews/R1BTWXC0CUPKHJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YF9W7,Size: 30 oz | Color: Black 2.0
"Reviewed in the United States on July 20, 2024",Jorge Sarmiento,yes,yes,"Buen vaso, pero NO es antiderrames","El producto es muy bueno. Tiene una manufactura impecable y es muy bonito en cuanto a su diseño. El vaso cumple su función de mantener la temperatura. Puedes echarle cubos de hielo y se mantendrán ahí por +8 horas (no lo he probado por más tiempo). No he probado su función en un portavasos de un auto. Lo que sí es cierto es que este vaso NO es antiderrames. Si lo inclinas horizontalmente o al revés, el líquido se filtrará por la tapa y se derramará. Es un tanto incómodo ya que sí o sí tienes que portarlo parado. Para evitar eso, tienes que comprar un producto aparte, lo cual me parece absurdo teniendo en cuenta el precio del termo.En conclusión, si buscas un uso más doméstico y de oficina, este es tu producto. Pero si buscas algo más polivalente y que puedas usar mientras haces ejercicio o vas de viaje, puedes mirar otras opciones mejores y más económicas.",4,-,-,https://www.amazon.com/gp/customer-reviews/RD41NZC5AC9A2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YF9W7,Size: 30 oz | Color: Black 2.0
"Reviewed in the United States on September 16, 2024",TanyaTanya,yes,-,Scuffed and scratched,If I’m paying $35 for a water bottle at least give me one that doesn’t look like it’s been dragged across several floors… highly disappointed,1,"https://m.media-amazon.com/images/I/61GBp4Pxo+L.jpg , https://m.media-amazon.com/images/I/61U5xKsgJ4L.jpg , https://m.media-amazon.com/images/I/61hD6g24QUL.jpg",-,https://www.amazon.com/gp/customer-reviews/R1WSV6C70S1VBC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YF9W7,Size: 30 oz | Color: Black 2.0
"Reviewed in the United States on September 3, 2024","El termo llegó en mal estado, está pelado, golpeado y con daños.El termo llegó en mal estado, está pelado, golpeado y con daños.",yes,-,"El termo parece que se hubiera caído o algo así, la forma en la que llegó empacado no fue la mejor",-,1,"https://m.media-amazon.com/images/I/612p8jXPzzL.jpg , https://m.media-amazon.com/images/I/61TjAD5OseL.jpg , https://m.media-amazon.com/images/I/715uWJWqZIL.jpg",-,https://www.amazon.com/gp/customer-reviews/R20TK2BEQ6YESI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YF9W7,Size: 30 oz | Color: Black 2.0
"Reviewed in the United States on June 25, 2024",MelissaMelissa,yes,-,Good quality but damaged,Fast delivery straw bent and hole in it,3,https://m.media-amazon.com/images/I/61Z3XtlV7AL.jpg,-,https://www.amazon.com/gp/customer-reviews/R2TJ4CJ80O0RSQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YF9W7,Size: 30 oz | Color: Black 2.0
"Reviewed in the United States on August 1, 2024",kenziekenzie,yes,-,black stanley,mine came with random white marks but when you wash the cup it comes right off. if your new to stanleys i recommend the 30oz. the 30oz it really big. good cup overall. mine came with what seems like some white residue on the lid & it wont really come off. you cant really see it but close up you can. the insulation is great. appearance is pretty good but it u get the black stanley you wont be able to see the stanley logo unless your close up. and lastly portability is amazing!,4,"https://m.media-amazon.com/images/I/61ZclGbVZzL.jpg , https://m.media-amazon.com/images/I/71pSItHn1sL.jpg",-,https://www.amazon.com/gp/customer-reviews/R107SC6YDZCG79/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YF9W7,Size: 30 oz | Color: Black 2.0
"Reviewed in the United States on September 17, 2024",Carol Barrett,yes,-,Size,Love them. Keeps the ice for a long time. Perfect size,1,-,-,https://www.amazon.com/gp/customer-reviews/R57VJGJ1T9OJ3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YF9W7,Size: 30 oz | Color: Black 2.0
"Reviewed in the United States on September 4, 2024",brittney,yes,-,not good,i like how it fits in my cup holder but the water does not stay cold at all,2,-,-,https://www.amazon.com/gp/customer-reviews/R26QZ3YMSRL6NT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YF9W7,Size: 30 oz | Color: Black 2.0
"Reviewed in the United States on September 10, 2024",Cee,yes,-,Leaks,Keeps my water cold but it leaks and not just out the straw out the lid. No matter how many times I turn the lid so it’s really tight keeps leaking.,3,-,-,https://www.amazon.com/gp/customer-reviews/R1E5HXENVJ2SIY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YF9W7,Size: 30 oz | Color: Black 2.0
"Reviewed in the United States on August 22, 2024",Alexis,yes,-,Ice cubes are gone within hours...,"I thought something was off about my ""Stanley"" when my husband had an iced drink in his TJ Maxx stainless steel cup & I had the same iced drink in my new Stanley. A few hours had passed & he still had chunks of ice cubes in this cup & the ones in my Stanley had melted down. I'm confused? Maybe it's a fake? Either way very dissapointed",3,-,-,https://www.amazon.com/gp/customer-reviews/R2W6DPPGC1GX7D/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YF9W7,Size: 30 oz | Color: Black 2.0
