Date,Author,Verified,Helpful,Title,Body,Rating,Images,Videos,URL,Variation,Style
"Reviewed in the United States on July 30, 2024",Meow Mama,yes,yes,"Yes, it’s worth it!","I have wanted a Stanley for a while but thought it was just more of a trend than anything else so I have hesitated spending the money on it. I finally decided to treat myself and see what all the hype was about. Oh wow, I get it now! This tumbler is amazing! I love it so much! I did a test where I put crushed ice, not cubed, filled it only halfway with ice and then the water. I timed how long the ice lasted and it was almost 40 hours later and the ice was finally gone! I swear this tumbler is the only way I can drink plain water, as it just tastes better in my Stanley. Maybe it’s a psychological thing but it’s worth it to me. I haven’t had issues with leaking, I use the straw through the straw holder part. The handle is perfect for my small hands, and it has the nice smooth grip. It’s easy to hold and it fits perfectly in my cup holders! I’m so glad I got this tumbler! Trust me, it’s worth the price! I also was pleased to see it was delivered wrapped in plastic and paper and arrived in perfect condition. If you’re on the fence about getting a Stanley tumbler like I was, just get it! It’s 100% worth it!",5,-,-,https://www.amazon.com/gp/customer-reviews/R1C9U6VBQ2KJBU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YB3Q4,Size: 30 oz | Color: Rose Quartz 2.0
"Reviewed in the United States on August 13, 2024",Becca,yes,yes,It’s my favorite water bottle,"I like it. The insulation is great. The handle is useful. It leaks even when it’s supposed to be completely sealed. And I can’t put water bottle stickers on it. They just peel right off😭But overall, It’s a great cup and it’s worth the money.",4,-,-,https://www.amazon.com/gp/customer-reviews/RKP9N383HNEG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YB3Q4,Size: 30 oz | Color: Rose Quartz 2.0
"Reviewed in the United States on July 30, 2024",T CavazosT Cavazos,yes,yes,Not my favorite Stanley,"This isn’t my favorite Stanley but I know it’s the most popular. I need something that won’t spill and even when you twist the straw lid to close, it still drips out which I don’t love. I’m usually very careful but I want the peace of mind that if it does tip over, I won’t have a huge mess to clean up. Don’t get me wrong, I understand the hype and it’s cute but it’s not as practical as I’d like it to be. I do like that the handle is better IMO over the Yeti. It’s not as bulky and the insulation keeps the drink about as cold as Yetis.",4,https://m.media-amazon.com/images/I/71fOh672SEL.jpg,-,https://www.amazon.com/gp/customer-reviews/R7VMSDMVTY2WS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YB3Q4,Size: 30 oz | Color: Rose Quartz 2.0
"Reviewed in the United States on August 24, 2024",Sangeetha,yes,yes,Terrible. Do not buy it.,Such a terrible product for the premium price they charge. Got 2.0 30 oz and it leaks like hell. Never expected for price they charge. Now I have to get a leak proof set sold in Amazon to fix the leak. This is just a Instagram influenced sake but nothing great about the product at all.  highly recommend not to buy this at all. I want to give 0 star but as I m unable to do it I give it a 1 star.,1,-,-,https://www.amazon.com/gp/customer-reviews/R6055BHX1AVQ9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YB3Q4,Size: 30 oz | Color: Rose Quartz 2.0
"Reviewed in the United States on May 18, 2024",Emely MEmely M,yes,yes,Damaged,"This is the first Stanley cup I buy, I got it because I’ve heard so many great things about it. As excited as I was to get it, when I went to open it from the box, I noticed it was damaged. There’s a scratch and paint chipped on the upper left side. In the front where the logo is. If it was in the back I wouldn’t have minded as much but it’s in the front. Other than that the color is great, I love it. I wish I can get a replacement. Since I bought it new it should not be damaged at all.",3,"https://m.media-amazon.com/images/I/61haR4IszfL.jpg , https://m.media-amazon.com/images/I/61pMbbNuqgL.jpg",-,https://www.amazon.com/gp/customer-reviews/RN9XVYRER5SOM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YB3Q4,Size: 30 oz | Color: Rose Quartz 2.0
"Reviewed in the United States on August 23, 2024",TASHA TASHA ,yes,yes,It’s a Stanley,My first Stanley. I definitely was not gonna be apart of the craze but I really love it. I leave ice and water in my bathroom overnight and it’s still full of ice and water when I wake up or need a sip.,5,https://m.media-amazon.com/images/I/71zkIInrDcL.jpg,-,https://www.amazon.com/gp/customer-reviews/R1U9OEJRO01VHF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YB3Q4,Size: 30 oz | Color: Rose Quartz 2.0
"Reviewed in the United States on September 11, 2024",No me enviaron el color que pedí. Y ya está usado por favor no compren no vale la penaNo me enviaron el color que pedí. Y ya está usado por favor no compren no vale la pena,yes,-,Demasiado mal,Lo pedí en color rosa y me llegó en blanco aparte de eso ya está usado demasiado mal,1,"https://m.media-amazon.com/images/I/51vNLCk63IL.jpg , https://m.media-amazon.com/images/I/61eDgtJWSIL.jpg",-,https://www.amazon.com/gp/customer-reviews/R1LZ27WASF5AYQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YB3Q4,Size: 30 oz | Color: Rose Quartz 2.0
"Reviewed in the United States on September 6, 2024",Ortal yedidiaOrtal yedidia,yes,-,Just arrived with damage,I opened it and it with scratch on it very disappointed !!! no box!!!,1,"https://m.media-amazon.com/images/I/61Lzqce5+LL.jpg , https://m.media-amazon.com/images/I/61NrJDXm6CL.jpg , https://m.media-amazon.com/images/I/61n9IbY39vL.jpg",-,https://www.amazon.com/gp/customer-reviews/R18Z3L7VBMM6NL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YB3Q4,Size: 30 oz | Color: Rose Quartz 2.0
"Reviewed in the United States on September 3, 2024",Shel  ,yes,-,Pésimo,"Terrible , venía sin protección y llegó completamente dañado .",1,-,-,https://www.amazon.com/gp/customer-reviews/R2L8JKCQG57KSL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YB3Q4,Size: 30 oz | Color: Rose Quartz 2.0
"Reviewed in the United States on August 15, 2024",Retaj AlshammariRetaj Alshammari,yes,-,Damaged,It arrived damaged i am really sad about this,1,https://m.media-amazon.com/images/I/71FgmomjIXL.jpg,-,https://www.amazon.com/gp/customer-reviews/R1BLYC11KJG065/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YB3Q4,Size: 30 oz | Color: Rose Quartz 2.0
"Reviewed in the United States on August 15, 2024",Laura CardonaLaura Cardona,yes,-,Llegó aporreado,"Llegó aporreado con rayones, pero los otros llegaron bienRealmente el hielo si dura más de 12 horas",2,"https://m.media-amazon.com/images/I/61CRitsrWgL.jpg , https://m.media-amazon.com/images/I/61JI7aQ5ZrL.jpg , https://m.media-amazon.com/images/I/61x1xijPy3L.jpg , https://m.media-amazon.com/images/I/71eJ2YdOTPL.jpg",-,https://www.amazon.com/gp/customer-reviews/R2EVLZIAQ88Q3W/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YB3Q4,Size: 30 oz | Color: Rose Quartz 2.0
"Reviewed in the United States on July 31, 2024",Marco Vinicio Soto CortezMarco Vinicio Soto Cortez,yes,-,"Llegó dañado, no lo empacan bien par que no se dañe con otros productos :/",-,2,"https://m.media-amazon.com/images/I/61-kra1L85L.jpg , https://m.media-amazon.com/images/I/61dbXHEc-dL.jpg",-,https://www.amazon.com/gp/customer-reviews/RU7NQ84F5UVUS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YB3Q4,Size: 30 oz | Color: Rose Quartz 2.0
"Reviewed in the United States on July 21, 2024",Mama GMama G,yes,-,Arrived scratched in two places,"The Stanley Cup arrived at our house just in time for my daughter‘s birthday, however, it came scratched in two places.",2,https://m.media-amazon.com/images/I/61ohMPl2PeL.jpg,-,https://www.amazon.com/gp/customer-reviews/R2ICXBSCDD0QKO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YB3Q4,Size: 30 oz | Color: Rose Quartz 2.0
"Reviewed in the United States on June 21, 2024",LisneidyLisneidy,yes,-,Calidad del Stanley,Llego pelado,2,https://m.media-amazon.com/images/I/61VRclhrQCL.jpg,-,https://www.amazon.com/gp/customer-reviews/RJA09CMTZCWJS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YB3Q4,Size: 30 oz | Color: Rose Quartz 2.0
"Reviewed in the United States on July 2, 2024",Crisbel GuerraCrisbel Guerra,yes,-,Producto maltratado,Mi producto al cual estaba que llegara llegó con rayones y sucio,3,"https://m.media-amazon.com/images/I/51gSBD48R-L.jpg , https://m.media-amazon.com/images/I/51pMNtiO-oL.jpg",-,https://www.amazon.com/gp/customer-reviews/R9NPQK1QXYY17/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YB3Q4,Size: 30 oz | Color: Rose Quartz 2.0
"Reviewed in the United States on September 5, 2024",j.k rowlingj.k rowling,yes,-,it’s an okay cup,"this is an okay cup it keeps the ice some what from melting, but if you refill the cup once or twice the ice will melt unless you have big chunks of ice there. Be careful to not drop it because it will get dented and the color will get scratched. Overall the cup is okay not the best thing on the market",4,https://m.media-amazon.com/images/I/61+D6oRNjkL.jpg,-,https://www.amazon.com/gp/customer-reviews/R1HCYQXNYWZC25/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YB3Q4,Size: 30 oz | Color: Rose Quartz 2.0
"Reviewed in the United States on August 29, 2024",Bonita HarredBonita Harred,yes,-,My Stanley cup,It keeps drinks cold,4,https://m.media-amazon.com/images/I/71+bMrYb0ML.jpg,-,https://www.amazon.com/gp/customer-reviews/R2QFC4OBLYX82I/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YB3Q4,Size: 30 oz | Color: Rose Quartz 2.0
"Reviewed in the United States on June 27, 2024",RR,yes,-,its cute & is lightweight,but ts definitely leaks & idk if it was js me but i still got a somewhat metallic taste even after washing it. It’s still cute & does its job tho,4,https://m.media-amazon.com/images/I/711o0gxESFL.jpg,-,https://www.amazon.com/gp/customer-reviews/RDKYYBO38GO9P/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YB3Q4,Size: 30 oz | Color: Rose Quartz 2.0
"Reviewed in the United States on September 12, 2024",Nicolette HenryNicolette Henry,yes,-,Great Purchase,"Quality is good, love the colour ❤️",5,https://m.media-amazon.com/images/I/61EhNQ85gOL.jpg,-,https://www.amazon.com/gp/customer-reviews/R2WWO2M86Q5B7Y/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YB3Q4,Size: 30 oz | Color: Rose Quartz 2.0
"Reviewed in the United States on September 11, 2024",MarkaylaMarkayla,yes,-,Great choice,"it’s definitely what I expected, I love it sm",5,https://m.media-amazon.com/images/I/61U6VKPiDbL.jpg,-,https://www.amazon.com/gp/customer-reviews/R2MJV4VI8GVY3S/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YB3Q4,Size: 30 oz | Color: Rose Quartz 2.0
"Reviewed in the United States on September 2, 2024",David Mora,yes,-,Good quality,Keep my water cold for hours!!,3,-,-,https://www.amazon.com/gp/customer-reviews/R30S6IZ0FQIO7Q/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YB3Q4,Size: 30 oz | Color: Rose Quartz 2.0
"Reviewed in the United States on September 11, 2024",Elsa Jeromin,yes,-,Very good water bottle,"Came in perfect condition, I’ve been drinking so much more water than I used to.",4,-,-,https://www.amazon.com/gp/customer-reviews/R3R338D23SDSYG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YB3Q4,Size: 30 oz | Color: Rose Quartz 2.0
"Reviewed in the United States on September 8, 2024",Toria,yes,-,I love it!,I love my Stanley! It’s the only thing I’ll drink water out of! The only problem I have is that it doesn’t keep my ice cold. Otherwise it’s great!,4,-,-,https://www.amazon.com/gp/customer-reviews/R1S7CHXS74RZSA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YB3Q4,Size: 30 oz | Color: Rose Quartz 2.0
