Date,Author,Verified,Helpful,Title,Body,Rating,Images,Videos,URL,Variation,Style
"Reviewed in the United States on September 1, 2023",Tiffany C.,yes,yes,Not worth it,"Spend your money on something else. For $60, this sweats, spills, scratches easily, and does not keep water cold for long enough. I didn’t want to buy into the Stanley fad but this was the only bottle of this capacity that had a handle (small hands) and allowed me to use my own preferred straw. If you don’t fill it to the brim with ice, your water will be warm within a few hours. If you do fill it to the brim with ice, you will get about six hours of cold water (at least in air conditioning – outside in the heat, forget about it) and all the ice makes it very heavy to carry around. I’ve never had an insulated bottle that was this poor at keeping water cold, I think it’s too thin and needs an additional wall to trap the temperature. Lastly, I’ve never had an insulated anything that sweats! Is that not the point of these things!? When I let the bottle sit in a room of about 75 degrees I can expect to come back and find it in a puddle. Ridiculous!",1,-,-,https://www.amazon.com/gp/customer-reviews/R14KYW56YFKCVM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BS1T7R8C,B0C7SD173Y,Style: 64 oz | Color: Black Glow
"Reviewed in the United States on September 16, 2023",Skyelander,yes,yes,I wanna get water wasted!,"Okay…. I don’t really want to get water wasted but I did buy this to increase my water intake. It sure helps to have this as I have noticed I am drinking more now than I had before. I really like the Stanley that I picked out. (30 oz size) It holds the temperature of my ice cold water even when I leave it in the car for hours on 90+ degree days. I am impressed by that for sure! I will say that I wish this was one of those bottles that I could throw in my bag but it is not. It will likely leak if it is on its side and guaranteed leak if it is upside down. Not a huge deal for me but something to mention. I do like that it has a handle so I can easily carry it around with all of my other endless amounts of junk. It is also easy to clean out with my scrub daddy sponge. Sometimes I throw it in the wash too although I’ve heard mixed reviews about that. So far, no issues here. Also, this fits my car cup holders which is awesome!",5,-,-,https://www.amazon.com/gp/customer-reviews/R2D0J06RAC0OUR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BS1T7R8C,B0BS1T7R8C,Style: 30 oz | Color: Charcoal
"Reviewed in the United States on September 30, 2023",tjp1684tjp1684,yes,yes,"Solid cup, worthwhile investment","Whether I’m drinking my lukewarm coffee or an ice cold beverage, this is going to keep the temp all day long.  If I put ice in at 6 am, it’s going to be there in the afternoon when I get off.I had one, it got stolen, and I immediately replaced it.  A lot of cups got donated after we got these.If it tips over, liquid will spill out, so it’s not a secured cap like a Yeti.  What it does do better than Yeti is: 1.) Fit in car cup holders 2.) Have a handle that fits my hand.",5,https://m.media-amazon.com/images/I/71AmsdDqO+L.jpg,-,https://www.amazon.com/gp/customer-reviews/R1EB67RK86B1X3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BS1T7R8C,B0BS1T7R8C,Style: 30 oz | Color: Charcoal
"Reviewed in the United States on September 9, 2023","""jbondbmw""""jbondbmw""",yes,yes,Paint chipping before first use,"The first time I took my brand new tumbler out of the cabinet to use, there was some chipped paint along the bottom of the cup. I submitted a warranty claim only to  be instantly told the warranty doesn't cover chipped paint. I can understand this for bottles that have been used for a while, but this was brand new never used. I'm very disappointed that they don't stand by their products,  especially for the price. I have other stainless steel tumblers from other companies and this Stanley is the first one to have the paint chip or crack. I will be buying my tumblers from other companies from now on. They are better quality and have better warranties and customer service.",1,"https://m.media-amazon.com/images/I/61EsYMu8AQL.jpg , https://m.media-amazon.com/images/I/61tQ0TLoiBL.jpg , https://m.media-amazon.com/images/I/711cMMSweGL.jpg",-,https://www.amazon.com/gp/customer-reviews/R31GJJT2XJD2OF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BS1T7R8C,B0BS1T7R8C,Style: 30 oz | Color: Charcoal
"Reviewed in the United States on November 17, 2023",jeannie roberts,yes,yes,Doesnt keep ice,"Ive tried a million yeti-type cups and was surprised this didn't work as well as most. I jumped on the stanley bandwagon, i figured it was great since.. yanno..everyone has one! But my ice barely stays for 1/2 a day.  Im not a straw fan so the lid you can move and just drink out of the opening. Not easy to turn the lid part, you need both hands. And the water doesnt just flow out like a normal cup. I'm not a fan. Wish i would've kept my $$ on this one.",1,-,-,https://www.amazon.com/gp/customer-reviews/R3C2URR6H27I0B/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BS1T7R8C,B0BS1T7R8C,Style: 30 oz | Color: Charcoal
"Reviewed in the United States on August 12, 2023",Amazon Customer,yes,yes,Leaks and does not keep water cold,"I was very excited to try the Stanley cup. All my friends rave about it, but I am so disappointed. I don't use the straw, so I rotate the top closed when not in use. It leaks. It is not leakproof. I also add plenty of ice and it melts within an hour. It is does not keep liquids cold for anywhere near advertised. The other annoying thing is that it has a handle, which is theory, is nice, but not when your top need to be twisted on and you can't line up the drinking hole with the handle. I have tried every conceivable starting position when rotating the top, but it will just not get tight at the right location. Did I get a defective cup?",1,-,-,https://www.amazon.com/gp/customer-reviews/R1OPU0AYQPW7LK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BS1T7R8C,B0BS1T7R8C,Style: 30 oz | Color: Charcoal
"Reviewed in the United States on February 26, 2023",Sarah PhillipsSarah Phillips,yes,yes,Great Deal!,I am so glad I caught this great deal! $35 bucks for a cup that usually goes for $60+. A great deal. I’m so glad I purchased this i love it!,5,https://m.media-amazon.com/images/I/61EIm+bYJwL.jpg,-,https://www.amazon.com/gp/customer-reviews/R1YOQ7QRCGHKHJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BS1T7R8C,B0BS1T7R8C,Style: 30 oz | Color: Charcoal
"Reviewed in the United States on September 5, 2023",Constant Reader,yes,yes,A Solid B+,"The coating/finish doesn’t seem to be as thick and durable as my Yeti, but it’s nice enough.  It should hold up well.  I love the 64 ounce size.  I can go my whole shift without having to refill it.  The length of time they claim this will hold ice seems a bit exaggerated but it keeps my drink ice cold for well over 24 to 36 hours which is more than enough for me since I reload it every day.  I took off a star because it leaks when you knock it over (that never happens with my yeti) but overall I’m very pleased with this purchase. Thanks Stanley!",4,-,-,https://www.amazon.com/gp/customer-reviews/R3V09390TFO97V/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BS1T7R8C,B0C7SD173Y,Style: 64 oz | Color: Black Glow
"Reviewed in the United States on January 21, 2024",Dionicia lindsay,yes,yes,Keeps its cold,"Oh, the 30 oz Stanley Cup is a must-have for any hockey fan! It's a high-quality, stainless steel tumbler that keeps your drinks hot or cold for hours. The iconic design resembles the legendary Stanley Cup trophy, making it a fun and unique way to show off your love for the game. Whether you're sipping on your favorite hot beverage during the winter season or enjoying a refreshing cold drink at a summer BBQ, this tumbler is perfect for keeping your drink at the right temperature. It's durable, easy to clean, and definitely adds a touch of hockey flair to your drinkware collection. Cheers to that! 🏒🥤🏆",5,-,-,https://www.amazon.com/gp/customer-reviews/R1UK40BAT78TT2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BS1T7R8C,B0BS1T7R8C,Style: 30 oz | Color: Charcoal
"Reviewed in the United States on April 1, 2023",Fantastic4,yes,yes,No dents or scratches!!!!,No complaints. I personally love Stanley’s. If you don’t have one I recommend this cup!!,5,-,-,https://www.amazon.com/gp/customer-reviews/R7QFW4S2V2N6Z/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BS1T7R8C,B0BS1T7R8C,Style: 30 oz | Color: Charcoal
"Reviewed in the United Kingdom on May 30, 2023",StephKStephK,yes,yes,Great cup but poor packaging,Ordered this from USA as they are sold out in the uk.Took some time for them to dispatch it. But I think it took about 3weeks total to get here.I like the cup. Seems genuine enough (no expert there though)But I’m stunned how badly packed it was. Came in a paper bag mo cushioning. I expected it to be in a box.Because of this there is a little damage to the cup which I’m not happy about. But will keep as took long enough to get this one.,3,"https://m.media-amazon.com/images/I/616lsOzKe0L.jpg , https://m.media-amazon.com/images/I/61ymu+ZsHJL.jpg , https://m.media-amazon.com/images/I/716VrAdl0VL.jpg , https://m.media-amazon.com/images/I/71NrB5-NPLL.jpg",-,-,B0BS1T7R8C,Style: 30 oz | Color: Charcoal
"Reviewed in the United States on April 15, 2024",Barbara Orlowske,yes,yes,Who repairs Stanley H20?,"Although this product excels at keeping items at desired temperature, I am very disappointed in the customer service available on this item.  Within a month of receiving, I accidentally dropped on the floor and it was full.  The handle broke off and when I tried to contact someone for support, Amazon website referred me to Stanley Tools, who says they have nothing to do with this product.  They did give me the web address of the correct company and I tried to contact them with no success.  I then sent an email to Amazon without any reply.  This is very unusual for Amazon as they always get back with an answer.  Guess I won't be buying another one of these!",1,-,-,https://www.amazon.com/gp/customer-reviews/RX1U32D11ABYI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BS1T7R8C,B0BS1T7R8C,Style: 30 oz | Color: Charcoal
