Date,Author,Verified,Helpful,Title,Body,Rating,Images,Videos,URL,Variation,Style
"Reviewed in the United States on July 3, 2023",Rosy MonarrezRosy Monarrez,yes,yes,2nd Time I Order 💗,"2nd time I order the same Stanley from this vendor. I reordered because I was so upset I accidentally forgot my first Stanley outside on the bench of my son’s barbershop a month ago before leaving on vacation because I was rushing getting last minute things done. Cup has no damages to it and it arrived 3 days earlier than expected. I’m excited to have my cup back!!! 😃P.S My husband and 2 kids also have Stanley cups for daily use, they bring it to the table every time we sit down to eat, and every time we go out. Helps eliminate half dranked water bottles around the house. Each picked their own color for easy identification.",5,"https://m.media-amazon.com/images/I/71ad755QnWL.jpg , https://m.media-amazon.com/images/I/71oclr35c5L.jpg , https://m.media-amazon.com/images/I/71ymaSZvTGL.jpg",-,https://www.amazon.com/gp/customer-reviews/RHH11IZ7ZAHQT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BD6XRYK8,-,-
"Reviewed in the United States on October 4, 2022",Lisa TuckerLisa Tucker,yes,yes,Stanley is awesome,"The best part about the Stanley mug is the name. Stanley has always been synonymous with ""thermos"". Men and women oftern carried their hot soup or coffee to work and it would still be hot at the end of the day. The same confidence is available with the mug. I am not great at getting my daily water quota in. The water sits too long. The ice melts and I am left with tepid water. With this mug, the water is still cold and ice left in the mug 24 hours later. It's amazing. I use it when going on a trip so that I have a nice cold beverage for the entire time.The only negatives are 1. The price. It's a big hefty for 1 mug.2. It can be a bit heavy because of the metal necessary to keep the liquid cold. If you have any arthritis or wrist issues, you may find a smaller version a better fit.Overall, I am extremely happy with the purchase.",5,https://m.media-amazon.com/images/I/61ln60Tm6AL.jpg,-,https://www.amazon.com/gp/customer-reviews/R2203QV595ZNQJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BD6XRYK8,-,-
"Reviewed in the United States on October 22, 2022",Kyrstin,-,yes,Don’t buy through Amazon,"Just a heads up - these are great but you can find them for 1/2 the price Amazon is selling them for on the Stanley website or at other retailers like REI, it’s ridiculous how much they are marked up on here.",1,-,-,https://www.amazon.com/gp/customer-reviews/R2HAMR5E8FK471/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BD6XRYK8,-,-
"Reviewed in the United States on December 31, 2022",ShirleyShirley,yes,yes,Cute and does the job!,"For $68 bucks - the cup is so adorable and drinking two is more than enough for hydration throughout the day. However, it came with a dent/scratch on the metal rim. I’m very detail oriented so it’s a big irk to me. Difficult to ignore it.",4,https://m.media-amazon.com/images/I/71FxzGS-7HL.jpg,-,https://www.amazon.com/gp/customer-reviews/R5YUTYVE75UE1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BD6XRYK8,-,-
"Reviewed in Germany on April 23, 2023",alexaa94alexaa94,yes,yes,Schnell aber leicht beschädigt,Tolles Produkt was auch sehr schnell bei mir war.Leider war es ohne Umverpackung einfach lieblos in einen Karton geworfen 🫠Am Griff sind leider Spuren. Für diesen Preis leider sehr schade!,3,https://m.media-amazon.com/images/I/61SkO5SosSL.jpg,-,-,-,-
"Reviewed in the United States on October 22, 2022",MaddieLatz08MaddieLatz08,yes,yes,Better color then I was expecting,Read reviews saying the color was cream with Mocha accents. Mine was. A pale pink with a muted pink accents! Love it so much!! Kinda pricy but it’s gorgeous,5,https://m.media-amazon.com/images/I/61qTe98yOcL.jpg,-,https://www.amazon.com/gp/customer-reviews/RSIYMSQ2RN0XZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BD6XRYK8,-,-
"Reviewed in the United States on April 7, 2023",Kaleigh RittiKaleigh Ritti,yes,yes,"cutest color, perfect condition","This was my first Stanley cup. The color is even cuter in person, and it keeps my water cool all day. Great price too, I didn’t have to pay an insane amount since Stanley became so popular",5,https://m.media-amazon.com/images/I/71gwKzz8U-L.jpg,-,https://www.amazon.com/gp/customer-reviews/R1B4L470SGUXY4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BD6XRYK8,-,-
"Reviewed in the United States on January 10, 2023",Marie,yes,yes,Does not fit in regular sized car cupholders,"The cup is very cute, and keeps my drink cold for days at a time. However, it is not the most convenient for students to carry around campus because the handle does not fit into the side pouches of the backpack. I recommend ordering a straw cover because it the straw is very exposed. Overall I would rate it a 7/10, and definitely would recommend others to buy.",4,-,-,https://www.amazon.com/gp/customer-reviews/RXZJ606O1ZHNV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BD6XRYK8,-,-
"Reviewed in Canada on June 2, 2023",Abbie RichardsonAbbie Richardson,yes,yes,Price tag on bottom,I bought this for over $100 Canadian to find an urban outfitters tag on the bottom for $59 CAD.Love the cup but maybe take the real price tag off before sending it out so people don't feel a bit scammed.,3,https://m.media-amazon.com/images/I/51VjSopkglL.jpg,-,-,-,-
"Reviewed in the United States on February 4, 2023",SandieSandie,yes,yes,Delivered quickly and in great condition,Packed nicely in a box and shipped quickly. I saw people sharing reviews on other sellers pages saying that the cups they bought were sweating and I was worried there might be fake cups out there. I tested the cup and it didn’t sweat so it’s insulated. Honestly very happy with my purchase I would recommend this seller.,5,https://m.media-amazon.com/images/I/71Q8ol5KA0L.jpg,-,https://www.amazon.com/gp/customer-reviews/R1ZIK97MX0COPB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BD6XRYK8,-,-
"Reviewed in the United States on February 7, 2023",Stephany santellanoStephany santellano,yes,yes,worth it!,I use this everyday at work!! it’s the cutest baby pink color. holds the perfect amount of water so i dont have to run to the water fountain to refill all day! the handle is the best part because i have small hands to hold a chunky water bottle. i need one in every color!,5,"https://m.media-amazon.com/images/I/61n5V6yqAYL.jpg , https://m.media-amazon.com/images/I/71AQezNlATL.jpg",-,https://www.amazon.com/gp/customer-reviews/R3F8A46L1EXVI7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BD6XRYK8,-,-
"Reviewed in the United States on December 17, 2022",Morgan BurgoMorgan Burgo,yes,yes,Buy on Stanley website!,"I love it but definitely recommend buying through Stanley’s website. It just comes wrapped in tissue paper. Needs better packaging. The handle had a mark on it. I was able to wash most of it off. Able to hold 2 1/2 water bottles. Love the color. It’s a very light pink color, rose qaurtz.",3,https://m.media-amazon.com/images/I/71Px34yyS3L.jpg,-,https://www.amazon.com/gp/customer-reviews/R3FJ3VWNVPKRF3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BD6XRYK8,-,-
"Reviewed in the United States on March 20, 2023",AnonymousAnonymousAnonymousAnonymous,yes,yes,Brand New,"To be honest, I was a little worried from the reviews seeing how some people received theirs damaged..luckily mine came brand new IN THE STANLEY BOX, so there are no complaints at all. No leak, no scratch, no dent, and I received the exact color I wanted.",5,https://m.media-amazon.com/images/I/61cNTgFgjUL.jpg,-,https://www.amazon.com/gp/customer-reviews/R16SII96D7638H/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BD6XRYK8,-,-
